Sector,Calendar Year,Budget Year,Indicator,Source,Calendar Value,Budget Value,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Unit
Economy,,2018-2019,Account Balance,Bangladesh Bank,,-5.25,,,,,,,,,,,,,Billion USD
Economy,,2017-2018,Account Balance,Bangladesh Bank,,-9.78,,,,,,,,,,,,,Billion USD
Economy,,2016-2017,Account Balance,Bangladesh Bank,,-1.33,,,,,,,,,,,,,Billion USD
Economy,,2015-2016,Account Balance,Bangladesh Bank,,4.26,,,,,,,,,,,,,Billion USD
Economy,,2014-2015,Account Balance,Bangladesh Bank,,3.49,,,,,,,,,,,,,Billion USD
Economy,,2013-2014,Account Balance,Bangladesh Bank,,1.41,,,,,,,,,,,,,Billion USD
Economy,,2012-2013,Account Balance,Bangladesh Bank,,2.39,,,,,,,,,,,,,Billion USD
Economy,,2011-2012,Account Balance,Bangladesh Bank,,-0.45,,,,,,,,,,,,,Billion USD
Economy,,2010-2011,Account Balance,Bangladesh Bank,,-1.69,,,,,,,,,,,,,Billion USD
Economy,,2009-2010,Account Balance,Bangladesh Bank,,3.72,,,,,,,,,,,,,Billion USD
Economy,,2019-2020,Account Balance,Bangladesh Bank,,-4.85,,,,,,,,,,,,,Billion USD
Economy,,2019-2020,ADP Implementation Rate (%),Ministry of Finance,,80%,,,,,,,,,,,,,Percentage
Economy,,2018-2019,ADP Implementation Rate (%),Ministry of Finance,,95%,,,,,,,,,,,,,Percentage
Economy,,2017-2018,ADP Implementation Rate (%),Ministry of Finance,,94%,,,,,,,,,,,,,Percentage
Economy,,2016-2017,ADP Implementation Rate (%),Ministry of Finance,,90%,,,,,,,,,,,,,Percentage
Economy,,2015-2016,ADP Implementation Rate (%),Ministry of Finance,,93%,,,,,,,,,,,,,Percentage
Economy,,2014-2015,ADP Implementation Rate (%),Ministry of Finance,,91.4%,,,,,,,,,,,,,Percentage
Economy,,2013-2014,ADP Implementation Rate (%),Ministry of Finance,,95%,,,,,,,,,,,,,Percentage
Economy,,2012-2013,ADP Implementation Rate (%),Ministry of Finance,,96.0%,,,,,,,,,,,,,Percentage
Economy,,2011-2012,ADP Implementation Rate (%),Ministry of Finance,,93%,,,,,,,,,,,,,Percentage
Economy,,2010-2011,ADP Implementation Rate (%),Ministry of Finance,,92%,,,,,,,,,,,,,Percentage
Economy,,2010-2011,Agriculture sector contribution (%) to GDP,Ministry of Finance,,18%,,,,,,,,,,,,,Percentage
Economy,,2019-2020,Agriculture sector contribution (%) to GDP,Ministry of Finance,,13%,,,,,,,,,,,,,Percentage
Economy,,2011-2012,Agriculture sector contribution (%) to GDP,Ministry of Finance,,17%,,,,,,,,,,,,,Percentage
Economy,,2012-2013,Agriculture sector contribution (%) to GDP,Ministry of Finance,,17%,,,,,,,,,,,,,Percentage
Economy,,2013-2014,Agriculture sector contribution (%) to GDP,Ministry of Finance,,16.5%,,,,,,,,,,,,,Percentage
Economy,,2014-2015,Agriculture sector contribution (%) to GDP,Ministry of Finance,,16.0%,,,,,,,,,,,,,Percentage
Economy,,2015-2016,Agriculture sector contribution (%) to GDP,Ministry of Finance,,15%,,,,,,,,,,,,,Percentage
Economy,,2016-2017,Agriculture sector contribution (%) to GDP,Ministry of Finance,,15%,,,,,,,,,,,,,Percentage
Economy,,2017-2018,Agriculture sector contribution (%) to GDP,Ministry of Finance,,14%,,,,,,,,,,,,,Percentage
Economy,,2018-2019,Agriculture sector contribution (%) to GDP,Ministry of Finance,,14%,,,,,,,,,,,,,Percentage
Economy,,2019-2020,Balance of Payment (BOP),Bangladesh Bank,,"3,169",,,,,,,,,,,,,Million USD
Economy,,2020-2021,Balance of Payment (BOP),Bangladesh Bank,,"9,274",,,,,,,,,,,,,Million USD
Economy,,2009-2010,Balance of Payment (BOP),Bangladesh Bank,,"2,865",,,,,,,,,,,,,Million USD
Economy,,2010-2011,Balance of Payment (BOP),Bangladesh Bank,,-676,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Balance of Payment (BOP),Bangladesh Bank,,494,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Balance of Payment (BOP),Bangladesh Bank,,"5,128",,,,,,,,,,,,,Million USD
Economy,,2013-2014,Balance of Payment (BOP),Bangladesh Bank,,"5,483",,,,,,,,,,,,,Million USD
Economy,,2014-2015,Balance of Payment (BOP),Bangladesh Bank,,"4,373",,,,,,,,,,,,,Million USD
Economy,,2015-2016,Balance of Payment (BOP),Bangladesh Bank,,"5,036",,,,,,,,,,,,,Million USD
Economy,,2016-2017,Balance of Payment (BOP),Bangladesh Bank,,"3,169",,,,,,,,,,,,,Million USD
Economy,,2017-2018,Balance of Payment (BOP),Bangladesh Bank,,-885,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Balance of Payment (BOP),Bangladesh Bank,,12,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Bangladesh-KSA (Saudi Arabia) Export,Bangladesh Bank,,116.18,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Bangladesh-KSA (Saudi Arabia) Export,Bangladesh Bank,,136.72,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Bangladesh-KSA (Saudi Arabia) Export,Bangladesh Bank,,169.13,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Bangladesh-KSA (Saudi Arabia) Import,Bangladesh Bank,,323.56,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Bangladesh-KSA (Saudi Arabia) Import,Bangladesh Bank,,366.00,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Bangladesh-KSA (Saudi Arabia) Import,Bangladesh Bank,,364.00,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Bangladesh-KSA (Saudi Arabia) Total Trade,Bangladesh Bank,,439.74,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Bangladesh-KSA (Saudi Arabia) Total Trade,Bangladesh Bank,,502.72,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Bangladesh-KSA (Saudi Arabia) Total Trade,Bangladesh Bank,,533.13,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Bank Borrowing by Govt,Bangladesh Bank,,"85,231",,,,,,,,,,,,,Crore BDT
Economy,,2018-2019,Bank Borrowing by Govt,Bangladesh Bank,,"26,464",,,,,,,,,,,,,Crore BDT
Economy,,2017-2018,Bank Borrowing by Govt,Bangladesh Bank,,"5,666",,,,,,,,,,,,,Crore BDT
Economy,,2016-2017,Bank Borrowing by Govt,Bangladesh Bank,,"-18,029",,,,,,,,,,,,,Crore BDT
Economy,,2015-2016,Bank Borrowing by Govt,Bangladesh Bank,,329,,,,,,,,,,,,,Crore BDT
Economy,,2014-2015,Bank Borrowing by Govt,Bangladesh Bank,,"-6,870",,,,,,,,,,,,,Crore BDT
Economy,,2013-2014,Bank Borrowing by Govt,Bangladesh Bank,,"7,950",,,,,,,,,,,,,Crore BDT
Economy,,2012-2013,Bank Borrowing by Govt,Bangladesh Bank,,"24,776",,,,,,,,,,,,,Crore BDT
Economy,,2018-2019,Bicycle Export,Export Promotion Bureau (EPB),,84.24,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Bicycle Export,Export Promotion Bureau (EPB),,82.84,,,,,,,,,,,,,Million USD
